age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed
44,blue-collar,married,university.degree,no,no,no,cellular,aug,thu,210,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1
53,technician,married,high.school,no,yes,no,cellular,nov,fri,138,1,999,0,nonexistent,-0.1,93.2,-42,4.964,5195.8
28,blue-collar,single,professional.course,no,yes,no,telephone,aug,thu,339,3,6,2,failure,-1.7,94.055,-39.8,4.957,4991.6
39,technician,married,basic.9y,no,no,no,cellular,jul,fri,185,2,999,0,nonexistent,-1.8,93.075,-47.1,4.857,5099.1
55,admin.,married,basic.4y,no,yes,no,cellular,may,fri,137,1,3,1,nonexistent,-2.9,92.201,-42.7,4.855,5076.2
37,management,divorced,high.school,no,no,no,cellular,jul,tue,68,8,999,0,nonexistent,1.4,93.918,-36.1,4.857,5228.1
38,services,married,basic.9y,unknown,yes,no,cellular,may,thu,204,1,999,0,nonexistent,-1.8,92.893,-36.1,0.9,5099.1
33,blue-collar,divorced,high.school,no,yes,no,telephone,jun,fri,191,1,999,0,nonexistent,-1.8,92.893,-36.1,4.153,5099.1
31,admin.,married,university.degree,no,yes,no,telephone,may,mon,174,1,3,1,nonexistent,-2.9,92.963,-36.1,4.865,5076.2
34,blue-collar,single,university.degree,no,yes,no,telephone,may,thu,191,2,999,1,nonexistent,-1.8,93.075,-36.1,1.268,5099.1
51,unemployed,single,professional.course,no,yes,no,cellular,jul,fri,62,2,999,0,nonexistent,1.1,93.994,-42,4.964,5191
38,entrepreneur,married,basic.4y,no,yes,no,cellular,aug,thu,789,1,999,0,nonexistent,1.4,93.444,-42,4.86,5228.1
25,admin.,married,professional.course,no,yes,no,cellular,may,mon,372,3,999,0,nonexistent,1.4,93.918,-41.8,4.964,5228.1
35,blue-collar,divorced,professional.course,no,no,no,cellular,jul,tue,75,5,999,0,nonexistent,-1.8,93.2,-36.4,1.266,5099.1
55,technician,married,basic.4y,no,no,yes,cellular,jun,mon,1021,1,999,0,failure,1.4,93.994,-36.4,4.858,5228.1
37,blue-collar,married,high.school,no,yes,no,cellular,jul,thu,117,2,999,0,nonexistent,1.4,93.994,-37.5,4.153,5228.1
31,admin.,married,university.degree,no,no,no,cellular,apr,thu,1034,2,999,0,nonexistent,-1.8,93.2,-36.1,0.692,5099.1
36,admin.,single,high.school,no,yes,no,cellular,aug,fri,83,1,999,2,nonexistent,-2.9,94.465,-42.7,4.963,5076.2
59,management,married,basic.4y,no,yes,no,telephone,apr,fri,79,1,999,0,failure,-1.8,92.893,-46.2,1.244,5099.1
37,blue-collar,married,high.school,no,yes,no,cellular,may,thu,93,4,999,2,nonexistent,-1.8,93.075,-46.2,4.856,5099.1
74,technician,married,basic.6y,no,no,no,cellular,may,thu,257,2,999,0,failure,1.1,93.994,-50.8,4.857,5191
44,retired,married,university.degree,no,unknown,no,cellular,nov,thu,188,2,999,0,nonexistent,-0.1,93.075,-42.7,4.866,5195.8
29,technician,unknown,university.degree,no,yes,no,cellular,oct,fri,131,2,16,1,nonexistent,-1.1,93.918,-42,4.855,4963.6
32,unemployed,married,high.school,unknown,no,no,telephone,nov,tue,111,2,999,1,nonexistent,-0.1,92.379,-36.4,1.291,5195.8
45,blue-collar,single,basic.4y,no,yes,no,telephone,may,fri,73,1,999,0,nonexistent,-1.8,93.918,-26.9,1.334,5099.1
24,technician,single,professional.course,unknown,yes,no,cellular,may,thu,175,1,999,1,nonexistent,-1.8,93.918,-47.1,4.968,5099.1
30,admin.,single,university.degree,no,yes,no,cellular,jul,tue,439,2,999,0,nonexistent,1.4,92.893,-42.7,4.964,5228.1
37,admin.,married,unknown,unknown,no,no,cellular,aug,thu,262,1,999,0,nonexistent,1.4,94.027,-36.1,1.264,5228.1
39,admin.,married,university.degree,no,yes,no,telephone,aug,thu,136,1,999,0,nonexistent,1.4,93.2,-36.4,4.857,5228.1
36,blue-collar,single,high.school,unknown,yes,no,cellular,jul,mon,150,4,999,0,nonexistent,1.4,93.918,-36.4,4.964,5228.1
27,entrepreneur,single,high.school,no,no,no,cellular,may,thu,598,3,999,0,nonexistent,1.1,93.994,-46.2,4.86,5191
34,admin.,divorced,high.school,no,no,no,cellular,jul,mon,96,3,999,0,nonexistent,1.4,93.075,-42.7,4.857,5228.1
41,services,single,high.school,no,no,no,telephone,may,mon,298,2,999,2,nonexistent,-1.8,93.994,-46.2,0.73,5099.1
55,unemployed,single,basic.4y,unknown,no,no,cellular,jun,mon,170,6,999,0,success,1.4,93.2,-41.8,0.715,5228.1
33,admin.,single,university.degree,no,yes,no,cellular,may,tue,104,5,999,0,failure,-1.8,92.893,-46.2,4.857,5099.1
26,admin.,married,high.school,unknown,yes,no,cellular,may,fri,213,14,999,0,nonexistent,1.1,93.2,-36.4,4.965,5191
52,admin.,married,high.school,unknown,no,no,cellular,jul,mon,356,3,999,0,nonexistent,1.4,92.893,-42.7,4.191,5228.1
35,admin.,divorced,professional.course,no,no,no,telephone,aug,tue,206,1,999,1,nonexistent,-2.9,92.893,-31.4,1.405,5076.2
30,blue-collar,married,basic.4y,unknown,no,no,cellular,may,mon,102,1,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191
46,blue-collar,divorced,basic.9y,no,yes,no,telephone,jul,thu,346,2,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1
43,technician,divorced,professional.course,no,no,no,cellular,jun,wed,53,2,999,0,nonexistent,1.4,93.994,-41.8,4.96,5228.1
38,services,married,high.school,unknown,no,no,telephone,jul,mon,81,6,999,0,nonexistent,1.4,94.465,-42.7,4.963,5228.1
52,management,married,university.degree,no,yes,no,cellular,nov,tue,67,1,999,0,nonexistent,-0.1,93.994,-42,4.963,5195.8
30,student,single,university.degree,no,no,no,cellular,may,fri,209,1,999,0,nonexistent,-1.8,93.918,-46.2,4.963,5099.1
33,services,married,basic.4y,no,no,no,telephone,may,tue,202,4,999,0,nonexistent,1.1,93.994,-36.4,4.966,5191
33,technician,divorced,high.school,no,yes,no,cellular,may,tue,247,1,999,0,success,-1.8,92.893,-46.2,4.965,5099.1
42,technician,single,unknown,no,no,no,telephone,may,mon,230,2,999,0,nonexistent,1.1,93.918,-36.4,4.191,5191
38,blue-collar,divorced,unknown,no,yes,no,telephone,may,thu,110,2,999,0,nonexistent,1.1,93.2,-36.4,4.12,5191
43,blue-collar,married,high.school,unknown,yes,no,telephone,may,tue,195,1,999,0,nonexistent,1.1,93.918,-36.4,4.961,5191